boat_COG	boat_heading	boat_lat	boat_lon	boat_speed	datetime	skiff_COG	skiff_heading	skiff_lat	skiff_lon	skiff_speed
62.94	357.267995215	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	359.235181536	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	2.90985311383	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	4.75367918553	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	4.19829167679	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	4.69521593246	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	2.94911273316	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	5.32378524644	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	2.97061188737	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	5.04511355075	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	4.35527873473	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	5.43750463169	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	5.58948383447	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	3.98260607012	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	5.38864013895	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	5.1339316271	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
93.14	5.6975479642	60.868981667	-147.378791667	1.235	2018-07-26 12:49:22	nan	nan	nan	nan	nan
95.09	5.82567576352	60.868951667	-147.378686667	1.302	2018-07-26 12:49:27	nan	nan	nan	nan	nan
106.27	6.01063484366	60.869623333	-147.378725	1.765	2018-07-26 12:49:32	nan	nan	nan	nan	nan
109.0	5.03824910899	60.869608333	-147.378603333	1.559	2018-07-26 12:49:37	nan	nan	nan	nan	nan
105.22	5.63525375502	60.869578333	-147.37846	1.317	2018-07-26 12:49:42	nan	nan	nan	nan	nan
102.31	3.05813916082	60.869563333	-147.378341667	1.389	2018-07-26 12:49:47	nan	nan	nan	nan	nan
98.01	4.03391176001	60.869558333	-147.378195	1.471	2018-07-26 12:49:52	nan	nan	nan	nan	nan
105.97	5.73304559419	60.869565	-147.378083333	1.101	2018-07-26 12:49:57	nan	nan	nan	nan	nan
